arrival_time,tsval
1776968200,159870
1776968201,160870
1776968202,161870
1776968203,162870
1776968204,163870
1776968205,164870
1776968206,165870
1776968207,166870
1776968208,167870
1776968209,168870
1776968210,169870
1776968211,170870
1776968212,171870
1776968213,172870
1776968214,173870
1776968215,174870
1776968216,175870
1776968217,176870
1776968218,177870
1776968219,178870
1776968220,179870
1776968221,180870
1776968222,181870
1776968223,182870
1776968224,183870
1776968225,184870
1776968226,185870
1776968227,186870
1776968228,187870
1776968229,188870
1776968230,189870
1776968231,190870
1776968232,191870
1776968233,192870
1776968234,193870
1776968235,194870
1776968236,195870
1776968237,196870
1776968238,197870
1776968239,198870
1776968240,199870
1776968241,200870
1776968242,201870
1776968243,202870
1776968244,203870
1776968245,204870
1776968246,205870
1776968247,206870
1776968248,207870
1776968249,208870
1776968250,209870
1776968251,210870
1776968252,211870
1776968253,212870
1776968254,213870
1776968255,214870
1776968256,215870
1776968257,216870
1776968258,217870
1776968259,218870
1776968260,219870
1776968261,220870
1776968262,221870
1776968263,222870
1776968264,223870
1776968265,224870
1776968266,225870
1776968267,226870
1776968268,227870
1776968269,228870
1776968270,229870
1776968271,230870
1776968272,231870
1776968273,232870
1776968274,233870
1776968275,234870
1776968276,235870
1776968277,236870
1776968278,237870
1776968279,238870
1776968280,239870
1776968281,240870
1776968282,241870
1776968283,242870
1776968284,243870
1776968285,244870
1776968286,245870
1776968287,246870
1776968288,247870
1776968289,248870
1776968290,249870
1776968291,250870
1776968292,251870
1776968293,252870
1776968294,253870
1776968295,254870
1776968296,255870
1776968297,256870
1776968298,257870
1776968299,258870
1776968300,259870
1776968301,260870
1776968302,261870
1776968303,262870
1776968304,263870
1776968305,264870
1776968306,265870
1776968307,266870
1776968308,267870
1776968309,268870
1776968310,269870
1776968311,270870
1776968312,271870
1776968313,272870
1776968314,273870
1776968315,274870
1776968316,275870
1776968317,276870
1776968318,277870
1776968319,278870
1776968320,279870
1776968321,280870
1776968322,281870
1776968323,282870
1776968324,283870
1776968325,284870
1776968326,285870
1776968327,286870
1776968328,287870
1776968329,288870
1776968330,289870
1776968331,290870
1776968332,291870
1776968333,292870
1776968334,293870
1776968335,294870
1776968336,295870
1776968337,296870
1776968338,297870
1776968339,298870
1776968340,299870
1776968341,300870
1776968342,301870
1776968343,302870
1776968344,303870
1776968345,304870
1776968346,305870
1776968347,306870
1776968348,307870
1776968349,308870
1776968350,309870
1776968351,310870
1776968352,311870
1776968353,312870
1776968354,313870
1776968355,314870
1776968356,315870
1776968357,316870
1776968358,317870
1776968359,318870
1776968360,319870
1776968361,320870
1776968362,321870
1776968363,322870
1776968364,323870
1776968365,324870
1776968366,325870
1776968367,326870
1776968368,327870
1776968369,328870
1776968370,329870
1776968371,330870
1776968372,331870
1776968373,332870
1776968374,333870
1776968375,334870
1776968376,335870
1776968377,336870
1776968378,337870
1776968379,338870
1776968380,339870
1776968381,340870
1776968382,341870
1776968383,342870
1776968384,343870
1776968385,344870
1776968386,345870
1776968387,346870
1776968388,347870
1776968389,348870
1776968390,349870
1776968391,350870
1776968392,351870
1776968393,352870
1776968394,353870
1776968395,354870
1776968396,355870
1776968397,356870
1776968398,357870
1776968399,358870
1776968400,359870
1776968401,360870
1776968402,361870
1776968403,362870
1776968404,363870
1776968405,364870
1776968406,365870
1776968407,366870
1776968408,367870
1776968409,368870
1776968410,369870
1776968411,370870
1776968412,371870
1776968413,372870
1776968414,373870
1776968415,374870
1776968416,375870
1776968417,376870
1776968418,377870
1776968419,378870
1776968420,379870
1776968421,380870
1776968422,381870
1776968423,382870
1776968424,383870
1776968425,384870
1776968426,385870
1776968427,386870
1776968428,387870
1776968429,388870
1776968430,389870
1776968431,390870
1776968432,391870
1776968433,392870
1776968434,393870
1776968435,394870
1776968436,395870
1776968437,396870
1776968438,397870
1776968439,398870
1776968440,399870
1776968441,400870
1776968442,401870
1776968443,402870
1776968444,403870
1776968445,404870
1776968448,407890
1776968448,407890
1776968449,408870
1776968450,409870
1776968451,410870
1776968452,411870
1776968453,412870
1776968454,413870
1776968455,414870
1776968456,415870
1776968457,416870
1776968458,417870
1776968459,418870
1776968462,421390
1776968462,421390
1776968462,421870
1776968463,422870
1776968464,423870
1776968465,424870
1776968466,425870
1776968467,426870
1776968468,427870
1776968469,428870
1776968470,429870
1776968471,430870
1776968472,431870
1776968473,432870
1776968474,433870
1776968475,434870
1776968476,435870
1776968477,436870
1776968478,437870
1776968479,438870
1776968480,439870
1776968481,440870
1776968482,441870
1776968483,442870
1776968484,443870
1776968485,444870
1776968486,445870
1776968487,446870
1776968488,447870
1776968489,448870
1776968490,449870
1776968491,450870
1776968492,451870
1776968493,452870
1776968494,453870
1776968495,454870
1776968496,455870
1776968497,456870
1776968498,457870
1776968499,458870
1776968500,459870
1776968501,460870
1776968502,461870
1776968503,462870
1776968504,463870
1776968505,464870
1776968506,465870
1776968507,466870
1776968508,467870
1776968510,468870
1776968510,469870
1776968511,470870
1776968512,471870
1776968513,472870
1776968514,473870
1776968515,474870
1776968516,475870
1776968517,476870
1776968518,477870
1776968519,478870
1776968520,479870
1776968521,480870
1776968522,481870
1776968523,482870
1776968524,483870
1776968525,484870
1776968526,485870
1776968527,486870
1776968528,487870
1776968529,488870
1776968530,489870
1776968531,490870
1776968532,491870
1776968533,492870
1776968534,493870
1776968535,494870
1776968536,495870
1776968537,496870
1776968538,497870
1776968539,498870
1776968540,499870
1776968541,500870
1776968542,501870
1776968543,502870
1776968544,503870
1776968545,504870
1776968546,505870
1776968547,506870
1776968548,507870
1776968549,508870
1776968550,509870
1776968551,510870
1776968552,511870
1776968553,512870
1776968554,513870
1776968555,514870
1776968556,515870
1776968557,516870
1776968558,517870
1776968559,518870
1776968560,519870
1776968561,520870
1776968562,521870
1776968563,522870
1776968564,523870
1776968565,524870
1776968566,525870
1776968567,526870
1776968568,527870
1776968569,528870
1776968570,529870
1776968571,530870
1776968572,531870
1776968573,532870
1776968574,533870
1776968575,534870
1776968576,535870
1776968577,536870
1776968578,537870
1776968579,538870
1776968580,539870
1776968581,540870
1776968582,541870
1776968583,542870
1776968584,543870
1776968585,544870
1776968586,545870
1776968587,546870
1776968588,547870
1776968589,548870
1776968590,549870
1776968591,550870
1776968593,552890
1776968593,552890
1776968594,553870
1776968595,554870
1776968596,555870
1776968597,556870
1776968598,557870
1776968599,558870
1776968600,559870
1776968601,560870
1776968602,561870
1776968603,562870
1776968604,563870
1776968605,564870
1776968606,565870
1776968607,566870
1776968608,567870
1776968609,568870
1776968610,569870
1776968611,570870
1776968612,571870
1776968613,572870
1776968616,575390
1776968616,575390
1776968616,575870
1776968617,576870
1776968618,577870
1776968619,578870
1776968620,579870
1776968621,580870
1776968622,581870
1776968623,582870
1776968624,583870
1776968625,584870
1776968626,585870
1776968627,586870
1776968628,587870
1776968629,588870
1776968630,589870
1776968631,590870
1776968632,591870
1776968633,592870
1776968634,593870
1776968635,594870
1776968636,595870
1776968637,596870
1776968638,597870
1776968639,598870
1776968640,599870
1776968641,600870
1776968642,601870
1776968643,602870
1776968644,603870
1776968645,604870
1776968646,605870
1776968647,606870
1776968648,607870
1776968649,608870
1776968650,609870
1776968651,610870
1776968652,611870
1776968653,612870
1776968654,613870
1776968655,614870
1776968656,615870
1776968657,616870
1776968658,617870
1776968659,618870
1776968660,619870
1776968661,620870
1776968662,621870
1776968663,622870
1776968664,623870
1776968665,624870
1776968666,625870
1776968667,626870
1776968668,627870
1776968669,628870
1776968670,629870
1776968671,630870
1776968672,631870
1776968673,632870
1776968674,633870
1776968675,634870
1776968676,635870
1776968677,636870
1776968678,637870
1776968679,638870
1776968680,639870
1776968681,640870
1776968682,641870
1776968683,642870
1776968684,643870
1776968685,644870
1776968686,645870
1776968687,646870
1776968688,647870
1776968689,648870
1776968690,649870
1776968691,650870
1776968692,651870
1776968693,652870
1776968694,653870
1776968695,654870
1776968696,655870
1776968697,656870
1776968698,657870
1776968699,658870
1776968700,659870
1776968701,660870
1776968702,661870
1776968703,662870
1776968704,663870
1776968705,664870
1776968706,665870
1776968707,666870
1776968708,667870
1776968709,668870
1776968710,669870
1776968711,670870
1776968712,671870
1776968713,672870
1776968714,673870
1776968715,674870
1776968716,675870
1776968717,676870
1776968718,677870
1776968719,678870
1776968720,679870
1776968721,680870
1776968722,681870
1776968723,682870
1776968724,683870
1776968725,684870
1776968726,685870
1776968727,686870
1776968728,687870
1776968729,688870
1776968730,689870
1776968731,690870
1776968732,691870
1776968733,692870
1776968734,693870
1776968735,694870
1776968736,695870
1776968737,696870
1776968738,697870
1776968739,698870
1776968740,699870
1776968741,700870
1776968742,701870
1776968743,702870
1776968744,703870
1776968745,704870
1776968746,705870
1776968747,706870
1776968748,707870
1776968749,708870
1776968750,709870
1776968751,710870
1776968752,711870
1776968753,712870
1776968754,713870
1776968755,714870
1776968756,715870
1776968757,716870
1776968758,717870
1776968759,718870
1776968760,719870
1776968761,720870
1776968762,721870
1776968763,722870
1776968764,723870
1776968765,724870
1776968766,725870
1776968767,726870
1776968768,727870
1776968769,728870
1776968770,729870
1776968771,730870
1776968772,731870
1776968773,732870
1776968775,734900
1776968775,734930
1776968776,735870
1776968777,736870
1776968778,737870
1776968779,738870
1776968780,739870
1776968781,740870
1776968782,741870
1776968783,742870
1776968784,743870
1776968785,744870
1776968786,745870
1776968787,746870
1776968788,747870
1776968789,748870
1776968790,749870
1776968791,750870
1776968792,751870
1776968793,752870
1776968795,754900
1776968795,754900
1776968796,755870
1776968797,756870
1776968798,757870
1776968799,758870
1776968800,759870
1776968801,760870
1776968802,761870
1776968803,762870
1776968804,763870
1776968805,764870
1776968806,765870
1776968807,766870
1776968808,767870
1776968809,768870
1776968810,769870
1776968811,770870
1776968812,771870
1776968813,772870
1776968814,773870
1776968815,774870
1776968816,775870
1776968817,776870
1776968818,777870
1776968819,778870
1776968820,779870
1776968821,780870
1776968822,781870
1776968823,782870
1776968824,783870
1776968825,784870
1776968826,785870
1776968827,786870
1776968828,787870
1776968829,788870
1776968830,789870
1776968831,790870
1776968832,791870
1776968833,792870
1776968834,793870
1776968835,794870
1776968836,795870
1776968837,796870
1776968838,797870
1776968839,798870
1776968840,799870
1776968841,800870
1776968842,801870
1776968843,802870
1776968844,803870
1776968845,804870
1776968846,805870
1776968847,806870
1776968848,807870
1776968849,808870
1776968850,809870
1776968851,810870
1776968852,811870
1776968853,812870
1776968854,813870
1776968855,814870
1776968856,815870
1776968857,816870
1776968858,817870
1776968859,818870
1776968860,819870
1776968861,820870
1776968862,821870
1776968863,822870
1776968864,823870
1776968865,824870
1776968866,825870
1776968867,826870
1776968868,827870
1776968869,828870
1776968870,829870
1776968871,830870
1776968872,831870
1776968873,832870
1776968874,833870
1776968875,834870
1776968876,835870
1776968877,836870
1776968878,837870
1776968879,838870
1776968880,839870
1776968881,840870
1776968882,841870
1776968883,842870
1776968884,843870
1776968885,844870
1776968886,845870
1776968887,846870
1776968888,847870
1776968889,848870
1776968890,849870
1776968891,850870
1776968892,851870
1776968893,852870
1776968894,853870
1776968895,854870
1776968896,855870
1776968897,856870
1776968898,857870
1776968899,858870
1776968900,859870
1776968901,860870
1776968902,861870
1776968903,862870
1776968904,863870
1776968905,864870
1776968906,865870
1776968907,866870
1776968908,867870
1776968909,868870
1776968910,869870
1776968911,870870
1776968912,871870
1776968913,872870
1776968914,873870
1776968915,874870
1776968916,875870
1776968917,876870
1776968918,877870
1776968919,878870
1776968920,879870
1776968921,880870
1776968922,881870
1776968923,882870
1776968924,883870
1776968925,884870
1776968927,886900
1776968927,886900
1776968928,887870
1776968929,888870
1776968930,889870
1776968931,890870
1776968932,891870
1776968933,892870
1776968934,893870
1776968935,894870
1776968936,895870
1776968937,896870
1776968938,897870
1776968939,898870
1776968940,899870
1776968941,900870
1776968942,901870
1776968943,902870
1776968944,903870
1776968945,904870
1776968946,905870
1776968947,906870
1776968948,907870
1776968949,908870
1776968950,909870
1776968951,910870
1776968952,911870
1776968953,912870
1776968954,913870
1776968955,914870
1776968956,915870
1776968957,916870
1776968958,917870
1776968959,918870
1776968960,919870
1776968961,920870
1776968962,921870
1776968963,922870
1776968964,923870
1776968965,924870
1776968966,925870
1776968967,926870
1776968968,927870
1776968969,928870
1776968970,929870
1776968971,930870
1776968972,931870
1776968973,932870
1776968974,933870
1776968975,934870
1776968976,935870
1776968977,936870
1776968978,937870
1776968979,938870
1776968980,939870
1776968981,940870
1776968983,942900
1776968983,942900
1776968984,943870
1776968985,944870
1776968986,945870
1776968987,946870
1776968988,947870
1776968989,948870
1776968990,949870
1776968991,950870
1776968992,951870
1776968993,952870
1776968994,953870
1776968995,954870
1776968996,955870
1776968997,956870
1776968998,957870
1776968999,958870
1776969000,959870
1776969001,960870
1776969002,961870
1776969003,962870
1776969004,963870
1776969005,964870
1776969006,965870
1776969007,966870
1776969008,967870
1776969009,968870
1776969010,969870
1776969011,970870
1776969012,971870
1776969013,972870
1776969014,973870
1776969015,974870
1776969016,975870
1776969017,976870
1776969020,979900
1776969020,979900
1776969021,980870
1776969022,981870
1776969023,982870
1776969024,983870
1776969025,984870
1776969026,985870
1776969027,986870
1776969028,987870
1776969029,988870
1776969030,989870
1776969031,990870
1776969032,991870
1776969035,994400
1776969035,994410
1776969035,994870
1776969036,995870
1776969037,996870
1776969038,997870
1776969039,998870
1776969040,999870
1776969041,1000870
1776969042,1001870
1776969043,1002870
1776969044,1003870
1776969045,1004870
1776969046,1005870
1776969047,1006870
1776969048,1007870
1776969049,1008870
1776969050,1009870
1776969051,1010870
1776969052,1011870
1776969053,1012870
1776969054,1013870
1776969055,1014870
1776969056,1015870
1776969057,1016870
1776969058,1017870
1776969059,1018870
1776969060,1019870
1776969061,1020870
1776969062,1021870
1776969063,1022870
1776969065,1024900
1776969065,1024920
1776969066,1025870
1776969067,1026870
1776969068,1027870
1776969069,1028870
1776969070,1029870
1776969071,1030870
1776969072,1031870
1776969073,1032870
1776969074,1033870
1776969075,1034870
1776969076,1035870
1776969077,1036870
1776969078,1037870
1776969079,1038870
1776969080,1039870
1776969081,1040870
1776969082,1041870
1776969083,1042870
1776969084,1043870
1776969085,1044870
1776969086,1045870
1776969087,1046870
1776969088,1047870
1776969089,1048870
1776969090,1049870
1776969091,1050870
1776969092,1051870
1776969093,1052870
1776969094,1053870
1776969095,1054870
1776969096,1055870
1776969097,1056870
1776969098,1057870
1776969099,1058870
1776969100,1059870
1776969101,1060870
1776969102,1061870
1776969103,1062870
1776969104,1063870
1776969105,1064870
1776969106,1065870
1776969107,1066870
1776969108,1067870
1776969109,1068870
1776969110,1069870
1776969111,1070870
1776969112,1071870
1776969113,1072870
1776969114,1073870
1776969115,1074870
1776969116,1075870
1776969117,1076870
1776969118,1077870
